date,open,high,low,volume,close
2020-03-09,10742.0498046875,10751.5498046875,10294.4501953125,1565500.0,10451.4501953125
2020-03-11,10334.2998046875,10545.099609375,10334.0,1218500.0,10458.400390625
2020-03-12,10039.9501953125,10040.75,9508.0,1343500.0,9590.150390625
2020-03-13,9107.599609375,10159.400390625,8555.150390625,1388000.0,9955.2001953125
2020-03-16,9587.7998046875,9602.2001953125,9165.099609375,897700.0,9197.400390625
2020-03-17,9285.400390625,9403.7998046875,8915.599609375,935600.0,8967.0498046875
2020-03-18,9088.4501953125,9127.5498046875,8407.0498046875,1516600.0,8468.7998046875
2020-03-19,8063.2998046875,8575.4501953125,7832.5498046875,925700.0,8263.4501953125
2020-03-20,8284.4501953125,8883.0,8178.2001953125,1071500.0,8745.4501953125
2020-03-23,7945.7001953125,8159.25,7583.60009765625,653500.0,7610.25
2020-03-24,7848.2998046875,8036.9501953125,7511.10009765625,738400.0,7801.0498046875
2020-03-25,7735.14990234375,8376.75,7714.75,736900.0,8317.849609375
2020-03-26,8451.0,8749.0498046875,8304.900390625,865600.0,8641.4501953125
2020-03-27,8949.099609375,9038.900390625,8522.900390625,801500.0,8660.25
2020-03-30,8385.9501953125,8576.0,8244.0,593300.0,8281.099609375
2020-03-31,8529.349609375,8678.2998046875,8358.0,712700.0,8597.75
2020-04-01,8584.099609375,8588.099609375,8198.349609375,506300.0,8253.7998046875
2020-04-03,8356.5498046875,8356.5498046875,8055.7998046875,697000.0,8083.7998046875
2020-04-07,8446.2998046875,8819.400390625,8360.9501953125,814200.0,8792.2001953125
2020-04-08,8688.900390625,9131.7001953125,8653.900390625,896500.0,8748.75
2020-04-09,8973.0498046875,9128.349609375,8904.5498046875,742100.0,9111.900390625
2020-04-13,9103.9501953125,9112.0498046875,8912.400390625,644000.0,8993.849609375
2020-04-15,9196.400390625,9261.2001953125,8874.099609375,879100.0,8925.2998046875
2020-04-16,8851.25,9053.75,8821.900390625,719400.0,8992.7998046875
2020-04-17,9323.4501953125,9324.0,9091.349609375,684200.0,9266.75
2020-04-20,9390.2001953125,9390.849609375,9230.7998046875,726400.0,9261.849609375
2020-04-21,9016.9501953125,9044.400390625,8909.400390625,655100.0,8981.4501953125
2020-04-22,9026.75,9209.75,8946.25,734400.0,9187.2998046875
2020-04-23,9232.349609375,9343.599609375,9170.150390625,666700.0,9313.900390625
2020-04-24,9163.900390625,9296.900390625,9141.2998046875,659400.0,9154.400390625
2020-04-27,9259.7001953125,9377.099609375,9250.349609375,512800.0,9282.2998046875
2020-04-28,9389.7998046875,9404.400390625,9260.0,614500.0,9380.900390625
2020-04-29,9408.599609375,9599.849609375,9392.349609375,653000.0,9553.349609375
2020-04-30,9753.5,9889.0498046875,9731.5,931200.0,9859.900390625
2020-05-04,9533.5,9533.5,9266.9501953125,687500.0,9293.5
2020-05-05,9429.400390625,9450.900390625,9190.75,725200.0,9205.599609375
2020-05-06,9226.7998046875,9346.900390625,9116.5,722200.0,9270.900390625
2020-05-07,9234.0498046875,9277.849609375,9175.900390625,708700.0,9199.0498046875
2020-05-08,9376.9501953125,9382.650390625,9238.2001953125,609100.0,9251.5
2020-05-11,9348.150390625,9439.900390625,9219.9501953125,704600.0,9239.2001953125
2020-05-12,9168.849609375,9240.849609375,9043.9501953125,805500.0,9196.5498046875
2020-05-13,9584.2001953125,9584.5,9351.099609375,846400.0,9383.5498046875
2020-05-14,9213.9501953125,9281.099609375,9119.75,602600.0,9142.75
2020-05-15,9182.400390625,9182.400390625,9050.0,575900.0,9136.849609375
2020-05-18,9158.2998046875,9158.2998046875,8806.75,773000.0,8823.25
2020-05-19,8961.7001953125,9030.349609375,8855.2998046875,762200.0,8879.099609375
2020-05-20,8889.150390625,9093.7998046875,8875.349609375,622300.0,9066.5498046875
2020-05-21,9079.4501953125,9178.5498046875,9056.099609375,631500.0,9106.25
2020-05-22,9067.900390625,9149.599609375,8968.5498046875,675800.0,9039.25
2020-05-26,9099.75,9161.650390625,8996.650390625,655000.0,9029.0498046875
2020-05-27,9082.2001953125,9334.0,9004.25,763500.0,9314.9501953125
2020-05-28,9364.9501953125,9511.25,9336.5,837900.0,9490.099609375
2020-05-29,9422.2001953125,9598.849609375,9376.900390625,967000.0,9580.2998046875
2020-06-01,9726.849609375,9931.599609375,9706.9501953125,794200.0,9826.150390625
2020-06-02,9880.849609375,9995.599609375,9824.0498046875,770200.0,9979.099609375
2020-06-03,10108.2998046875,10176.2001953125,10035.5498046875,794700.0,10061.5498046875
2020-06-04,10054.25,10123.849609375,9944.25,775100.0,10029.099609375
2020-06-05,10093.7998046875,10177.7998046875,10040.75,987100.0,10142.150390625
2020-06-08,10326.75,10328.5,10120.25,936500.0,10167.4501953125
2020-06-09,10181.150390625,10291.150390625,10021.4501953125,754200.0,10046.650390625
2020-06-10,10072.599609375,10148.75,10036.849609375,632400.0,10116.150390625
2020-06-11,10094.099609375,10112.0498046875,9885.0498046875,715500.0,9902.0
2020-06-12,9544.9501953125,9996.0498046875,9544.349609375,796300.0,9972.900390625
2020-06-15,9919.349609375,9943.349609375,9726.349609375,716100.0,9813.7001953125
2020-06-16,10014.7998046875,10046.150390625,9728.5,899900.0,9914.0
2020-06-17,9876.7001953125,10003.599609375,9833.7998046875,685400.0,9881.150390625
2020-06-18,9863.25,10111.2001953125,9845.0498046875,622900.0,10091.650390625
2020-06-19,10119.0,10272.400390625,10072.650390625,892100.0,10244.400390625
2020-06-22,10318.75,10393.650390625,10277.599609375,685400.0,10311.2001953125
2020-06-23,10347.9501953125,10484.7001953125,10301.75,669200.0,10471.0
2020-06-24,10529.25,10553.150390625,10281.9501953125,854800.0,10305.2998046875
2020-06-25,10235.5498046875,10361.7998046875,10194.5,994200.0,10288.900390625
2020-06-26,10378.900390625,10409.849609375,10311.25,671900.0,10383.0
2020-06-29,10311.9501953125,10337.9501953125,10223.599609375,574500.0,10312.400390625
2020-06-30,10382.599609375,10401.0498046875,10267.349609375,556200.0,10302.099609375
2020-07-01,10323.7998046875,10447.0498046875,10299.599609375,573600.0,10430.0498046875
2020-07-02,10493.0498046875,10598.2001953125,10485.5498046875,597400.0,10551.7001953125
2020-07-03,10614.9501953125,10631.2998046875,10562.650390625,525200.0,10607.349609375
2020-07-06,10723.849609375,10811.400390625,10695.099609375,571200.0,10763.650390625
2020-07-07,10802.849609375,10813.7998046875,10689.7001953125,636800.0,10799.650390625
2020-07-08,10818.650390625,10847.849609375,10676.5498046875,767900.0,10705.75
2020-07-09,10755.5498046875,10836.849609375,10733.0,618700.0,10813.4501953125
2020-07-10,10764.099609375,10819.400390625,10713.0,590700.0,10768.0498046875
2020-07-13,10851.849609375,10894.0498046875,10756.0498046875,554100.0,10802.7001953125
2020-07-14,10750.849609375,10755.650390625,10562.900390625,532400.0,10607.349609375
2020-07-15,10701.0,10827.4501953125,10577.75,715900.0,10618.2001953125
2020-07-16,10706.2001953125,10755.2998046875,10595.2001953125,694400.0,10739.9501953125
2020-07-17,10752.0,10933.4501953125,10749.650390625,676900.0,10901.7001953125
2020-07-20,10999.4501953125,11037.900390625,10953.0,554300.0,11022.2001953125
2020-07-21,11126.099609375,11179.5498046875,11113.25,772000.0,11162.25
2020-07-22,11231.2001953125,11238.099609375,11056.5498046875,765100.0,11132.599609375
2020-07-23,11135.0,11239.7998046875,11103.150390625,621600.0,11215.4501953125
2020-07-24,11149.9501953125,11225.400390625,11090.2998046875,678900.0,11194.150390625
2020-07-27,11225.0,11225.0,11087.849609375,588100.0,11131.7998046875
